Rank,Tag,Machine Name,Asset Tag,Cash Revenue,Bonus Cash,Token Play,Points,Time Base Play Revenue,Points Cash Value Paid,Coin Play,Time Based Play,EMP Plays,% Payout,Average Play Value,Percent of Total Sale,Facility,ImagePath
30,17,Air FX 1,17,"$1,848.82 ",$521.00 ,0,,"$2,182.50 ",$0.00 ,"1,109",970,16,0,$2.14 ,1.06,Mill Creek,img/airFX.jpg
58,22,Air FX 2,22,"$1,208.41 ",$425.92 ,0,,"$1,534.50 ",$0.00 ,757,682,20,0,$2.16 ,0.69,Mill Creek,img/airFX.jpg
46,62,Cruis'n Blast 2,62,"$1,486.57 ",$354.53 ,0,,"$1,930.50 ",$0.00 ,871,858,5,0,$2.11 ,0.85,Mill Creek,img/CrusinBlast.jpg
49,47,Cruis'n Blast 1,47,"$1,455.18 ",$384.74 ,0,,"$1,770.75 ",$0.00 ,876,787,5,0,$2.10 ,0.83,Mill Creek,img/CrusinBlast.jpg
54,96,Halo: FireTeam Raven 3,94,"$1,302.08 ",$370.42 ,0,,"$3,055.00 ",$0.00 ,721,"1,222",15,0,$2.32 ,0.75,Mill Creek,img/FireTeamRaven.jpg
64,97,Halo: FireTeam Raven 4,94,"$1,075.72 ",$291.78 ,0,,"$2,887.50 ",$0.00 ,591,"1,155",14,0,$2.31 ,0.62,Mill Creek,img/FireTeamRaven.jpg
99,94,Halo: FireTeam Raven 1,94,$549.50 ,$150.50 ,0,,"$1,937.50 ",$0.00 ,308,775,4,0,$2.27 ,0.31,Mill Creek,img/FireTeamRaven.jpg
100,95,Halo: FireTeam Raven 2,94,$490.50 ,$114.50 ,0,,"$1,502.50 ",$0.00 ,268,601,1,0,$2.26 ,0.28,Mill Creek,img/FireTeamRaven.jpg
68,123,Hungry Hippos (Blue),123,"$1,033.85 ",$352.15 ,0,,$954.00 ,$0.00 ,730,477,4,0,$1.90 ,0.59,Mill Creek,img/HungryHippos.jpg
74,125,Hungry Hippos (Orange),125,$919.98 ,$283.02 ,0,,$884.00 ,$0.00 ,642,442,5,0,$1.87 ,0.53,Mill Creek,img/HungryHippos.jpg
79,124,Hungry Hippos (Yellow),124,$882.25 ,$313.75 ,0,,$894.00 ,$0.00 ,643,447,7,0,$1.86 ,0.51,Mill Creek,img/HungryHippos.jpg
84,126,Hungry Hippos (Green),126,$829.75 ,$307.25 ,0,,$848.00 ,$0.00 ,603,424,4,0,$1.89 ,0.48,Mill Creek,img/HungryHippos.jpg
50,65,Mario Kart 1,65,"$1,374.88 ",$374.12 ,0,,"$1,330.00 ",$0.00 ,928,665,13,0,$1.88 ,0.79,Mill Creek,img/MarioKart.jpg
101,48,Mario Kart 2,48,$451.00 ,$118.00 ,0,,$460.00 ,$0.00 ,290,230,6,0,$1.96 ,0.26,Mill Creek,img/MarioKart.jpg
6,108,Minecraft 1,108,"$3,439.00 ",$904.75 ,0,,$0.00 ,$0.00 ,"1,859",0,14,0,$2.34 ,1.97,Mill Creek,img/MineCraft.jpg
19,122,Minecraft 2,122,"$2,443.73 ",$760.02 ,0,,$0.00 ,$0.00 ,"1,368",0,5,0,$2.34 ,1.4,Mill Creek,img/MineCraft.jpg
33,319,Super Bike 3 (Orange),319,"$1,774.00 ",$542.00 ,0,,"$2,550.00 ",$0.00 ,"1,231","1,275",9,0,$1.88 ,1.02,Mill Creek,img/SuperBike.jpg
40,318,Super Bike 3 (Pink),318,"$1,697.94 ",$484.06 ,0,,"$2,520.00 ",$0.00 ,"1,153","1,260",7,0,$1.89 ,0.97,Mill Creek,img/SuperBike.jpg
43,321,Super Bike 3 (Green),321,"$1,553.87 ",$422.13 ,0,,"$2,316.00 ",$0.00 ,"1,054","1,158",2,0,$1.87 ,0.89,Mill Creek,img/SuperBike.jpg
